affector,target,strength
P_rpaA_D53E,H6G84_RS12820,0.38352668
P_OX_plasmid,H6G84_RS12820,0.35052684
P_Subjective_dawn,H6G84_RS12820,-0.12984018
P_Subjective_dusk,H6G84_RS12820,0.3856176
P_p0050_kaiBC,H6G84_RS12820,0.19311452
P_relA,H6G84_RS12820,0.26686484
P_relA_E335Q,H6G84_RS12820,-0.5291131
P_sigF,H6G84_RS12820,-0.38327354
P_pilB::Tn5,H6G84_RS12820,0.18030511
H6G84_RS12160,H6G84_RS02020,-0.11041964
H6G84_RS09525,H6G84_RS02020,-0.27101365
H6G84_RS11200,H6G84_RS02020,-0.14007524
P_tesA,H6G84_RS02020,0.39467913
P_rpaA_D53E,H6G84_RS02020,-0.40853593
P_p0050_kaiBC,H6G84_RS02020,-0.81719786
P_rel,H6G84_RS02020,-0.19893624
P_relA,H6G84_RS02020,0.10903851
P_relA_E335Q,H6G84_RS02020,0.11874438
P_sigF,H6G84_RS02020,0.16023341
P_pAM2991-galP,H6G84_RS02020,-0.2159961
P_pilB::Tn5,H6G84_RS02020,0.24536434
P_CM,H6G84_RS02020,0.22559075
H6G84_RS12160,H6G84_RS04505,0.20550369
H6G84_RS05285,H6G84_RS04505,0.24790764
H6G84_RS05575,H6G84_RS04505,0.135156
P_p0050_kaiBC,H6G84_RS04505,-0.16070323
P_relA,H6G84_RS04505,0.12630738
H6G84_RS04855,H6G84_RS13470,0.102328986
H6G84_RS12160,H6G84_RS13470,0.17108646
H6G84_RS11960,H6G84_RS13470,0.14672121
H6G84_RS12820,H6G84_RS13470,0.104580045
H6G84_RS11200,H6G84_RS13470,0.14061947
P_rpaA_D53E,H6G84_RS13470,0.18867338
P_OX_plasmid,H6G84_RS13470,0.33041507
P_p0050_kaiBC,H6G84_RS13470,-0.29724228
