Cluster,Size,Density,Internal weight,Boundary weight,Quality,P-value,Members
86,6,0.3160,4.740,34.00,0.09342,0.851023,"P21577 Q31QL4 Q59943 P29686 Q31KW8 Q31RS5"
87,5,0.3246,3.246,4.586,0.1820,0.262904,"P46205 Q31KL6 Q31LG1 Q9F1R2 Q31KC2"
88,6,0.3042,4.563,12.97,0.1545,0.287252,"Q935X2 Q31PM2 P50590 Q31KE2 Q31MB3 Q31PL7"
89,7,0.3010,6.320,12.58,0.1921,0.153076,"Q31PN5 Q31KM4 Q31LF7 Q31LF2 Q31MF3 Q31MU1 Q31N14"
90,9,0.3074,11.07,43.67,0.1521,0.953301,"P18655 Q31LL7 Q31LW2 Q31PM2 Q31PS0 P22880 Q31QG3 Q31QV0 Q8KPQ0"
91,3,0.4690,1.407,1.338,0.1609,0.187913,"Q55024 Q31QH2 Q31RB7"
92,7,0.3222,6.767,59.19,0.08463,0.937399,"Q31NV7 Q31R92 P30008 Q31ML1 Q31M41 Q31QV1 Q31PT8"
93,4,0.3043,1.826,7.158,0.1075,0.442275,"Q31S44 Q31LZ3 Q31MM7 Q31N18"
94,5,0.3618,3.618,8.205,0.1658,0.376649,"Q31RW6 Q31NS8 Q31R18 Q31MM2 Q31R02"
95,3,0.8030,2.409,0.7910,0.2618,0.0382613,"Q31NF5 Q31PM5 Q31S61"
96,4,0.3453,2.072,7.515,0.1178,0.843839,"Q8KPQ0 Q31PN8 Q31PR2 Q31Q18"
97,11,0.4146,22.80,132.2,0.1288,0.975610,"Q31KE9 Q31L30 Q31N15 Q31N17 P11472 P42079 Q31L83 Q31P52 Q31MH9 Q935Y7 Q31S66"
98,51,0.3022,385.3,750.9,0.3112,6.45284e-05,"Q31LM9 Q31N38 Q31QK5 P12243 Q31L59 Q54705 Q31M58 Q31PL8 Q31QY2 O50209 P06539 P13530 Q31KE0 Q31LK8 Q31LK9 Q31LY1 Q31N86 Q31NV7 Q31PD8 Q31PD9 Q31Q37 Q31QD7 Q31RF1 Q31RF9 Q31RG0 Q31RG1 Q31RG2 Q31RP7 Q44115 Q44116 Q8VW88 Q9Z3G5 P33171 Q31PL1 Q31QJ2 P0A2Z8 Q31KS4 Q31MY7 Q31NV8 Q31QV2 Q31RF4 Q31RF0 Q31S39 Q03513 Q31NB3 Q31QK6 Q31RM7 Q31PV4 Q31NB2 Q31KE5 Q31M00"
99,17,0.3049,41.46,120.9,0.2111,0.898741,"P16954 Q31P93 Q31KF2 Q31PU9 Q31QQ0 Q31QU9 Q31PT6 Q31RK5 Q31LT0 Q31LW9 Q31NC9 Q31PI8 Q31QC6 Q31QL9 Q55041 Q31N90 Q31QV3"
100,4,0.3487,2.092,12.42,0.09292,0.233913,"Q31QL4 Q31L56 Q31MN3 Q31NZ4"
