P0A2Z8	Q31PD8	0.682
P0A2Z8	Q31PD9	0.731
P0A2Z8	Q31QK5	0.63
P0A2Z8	Q31QV2	0.777
P0A2Z8	Q31RF0	0.88
P0A2Z8	Q31RF1	0.941
P0A2Z8	Q31RF3	0.894
P0A2Z8	Q31RF4	0.912
P0A2Z8	Q54767	0.664
P0A3F4	P0A3F4	0.998
P0A3F4	Q6V1L5	1
P0A3F4	Q7X386	1
P10340	P11004	0.588
P10340	P13530	0.605
P10340	P15347	0.95
P10340	P31094	0.607
P10340	P95822	0.95
P10340	P95823	0.95
P10340	Q31K49	0.658
P10340	Q31KP3	0.714
P10340	Q31KS4	0.613
P10340	Q31LJ0	0.994
P10340	Q31LJ1	0.992
P10340	Q31LM4	0.658
P10340	Q31N38	0.653
P10340	Q31NL7	0.95
P10340	Q31NT9	0.992
P10340	Q31NU0	0.95
P10340	Q31NV7	0.617
P10340	Q31PD9	0.66
P10340	Q31PI7	0.991
P10340	Q31PL1	0.736
P10340	Q31PR9	0.95
P10340	Q31QK5	0.619
P10340	Q31QV2	0.992
P10340	Q31RF1	0.623
P10340	Q31RF9	0.625
P10340	Q54705	0.593
P10340	Q935X2	0.715
P11004	P11005	0.937
P11004	P11472	0.868
P11004	P31094	0.967
P11004	P95822	0.811
P11004	Q31K59	0.728
P11004	Q31L05	0.782
P11004	Q31L12	0.756
P11004	Q31LJ0	0.961
P11004	Q31LJ1	0.917
P11004	Q31LJ5	0.694
P11004	Q31LM4	0.631
P11004	Q31LM9	0.895
P11004	Q31ME6	0.909
P11004	Q31ML0	0.891
P11004	Q31MS2	0.681
P11004	Q31N38	0.763
P11004	Q31NJ5	0.764
P11004	Q31NL0	0.693
P11004	Q31NL7	0.643
P11004	Q31NM5	0.686
P11004	Q31NT0	0.6
P11004	Q31NT9	0.93
P11004	Q31NV7	0.739
P11004	Q31NV8	0.687
P11004	Q31P07	0.644
P11004	Q31P08	0.859
P11004	Q31PC1	0.657
P11004	Q31PD0	0.696
P11004	Q31PI7	0.775
P11004	Q31PP7	0.758
P11004	Q31PS1	0.746
P11004	Q31PW1	0.93
P11004	Q31QF5	0.914
P11004	Q31QK4	0.702
P11004	Q31QK5	0.682
P11004	Q31QV2	0.821
P11004	Q31RA2	0.875
P11004	Q31RE4	0.912
P11004	Q31RF1	0.692
P11004	Q31RF3	0.891
P11004	Q31RF4	0.729
P11004	Q31RJ0	0.848
P11004	Q31RZ5	0.673
P11004	Q31S00	0.708
P11004	Q79PF4	0.854
P11004	Q8GIS4	0.867
P11004	Q935X8	0.749
P11005	P11472	0.792
P11005	P31094	0.939
P11005	P95822	0.845
P11005	Q31L05	0.71
P11005	Q31LJ0	0.826
P11005	Q31LJ1	0.811
P11005	Q31LK9	0.698
P11005	Q31LM4	0.702
P11005	Q31LM9	0.805
P11005	Q31ME6	0.648
P11005	Q31ML0	0.811
P11005	Q31MS2	0.64
P11005	Q31N64	0.661
P11005	Q31NJ5	0.583
P11005	Q31NL7	0.757
P11005	Q31NM5	0.643
P11005	Q31NT9	0.786
P11005	Q31P08	0.618
P11005	Q31PD0	0.634
P11005	Q31PI7	0.668
P11005	Q31PP7	0.696
P11005	Q31PS1	0.608
P11005	Q31QF5	0.617
P11005	Q31QV2	0.691
P11005	Q31RA2	0.644
P11005	Q31RE4	0.809
P11005	Q31RF3	0.678
P11005	Q31RJ0	0.676
P11005	Q31RN3	0.707
P11005	Q31RZ5	0.852
